,partitionCount,execTime,minimum_partition_size,maximum_partition_size
0,8,12.526670932769775,835702,835788
1,16,13.927756071090698,417783,417926
2,24,14.423099040985107,278475,278642
3,32,14.53775405883789,208859,209007
4,40,14.504097938537598,167078,167215
5,48,15.060346841812134,139145,139409
6,56,15.65007996559143,119283,119506
7,64,15.89489197731018,104370,104544
8,72,16.389081239700314,92779,92939
9,80,16.775173902511597,83483,83646
10,88,17.011707067489624,75877,76066
11,96,17.466825008392338,69567,69720
12,104,18.290734052658078,64220,64354
13,112,18.518630027771,59557,59838
14,120,19.10230684280395,55575,55848
15,128,20.22358775138855,52130,52329
16,136,20.469895124435425,49082,49238
17,144,21.3173611164093,46340,46530
18,152,21.836666107177734,43830,44119
19,160,22.931477069854736,41650,41891
20,168,24.11370968818665,39680,39932
21,176,24.56503701210022,37898,38083
22,184,25.67683386802673,36242,36460
23,192,26.146849155426025,34718,34912
24,200,27.535595893859863,33338,33496
25,208,317.64271497726435,32054,32224
26,216,19.412818908691406,30860,31060
27,224,19.869202852249146,29730,29958
28,232,19.95219397544861,28692,28970
29,240,19.87612509727478,27730,27940
30,248,19.840227127075195,26860,27039
31,256,20.14152503013611,26023,26250
32,264,20.679486989974976,25200,25446
33,272,20.15209984779358,24380,24764
34,280,20.41503310203552,23790,23970
35,288,20.831987857818607,23130,23280
36,296,21.015007972717285,22441,22750
37,304,21.046870708465573,21816,22100
38,312,21.252088785171512,21361,21530
39,320,21.80789804458618,20800,20980
